naam;count
ANPR camera;46
Aanstraalverlichting;22
Aanvullende geometrie;15
Aardingsinstallatie;1
Afdichting;1
Afwijkende watergreppel;2
Antiparkeerpaal;1
Armatuurcontroller;274
Batterij;16
Bel;2
Beschermbuis;263
Beschermlaag;1
Bestrating van betonstraatsteen;1
Bestrijking;1
Betonnen constructie object;28
Betonnen schroefpaal;36
Bevestigingsbeugel;5
Bi-Flash installatie;1
Bi-flash;1
Bitumineuze laag;9
Boom;9
Brug;3
Brugdeel;1
Brugdek;4
Brugdekvoeg;5
Cabinecontroller;3
Camera;96
Cementbetonverharding;5
Cluster;2
Codeklavier;2
Constructie sokkel;4
Contactor;13
Datakabel;365
Dolomietverharding;3
Dynamisch Zone-30 bord;4
Energiemeter DNB;958
Equipotentiaal verbinding;3
Forfaitaire aansluiting;601
Funderingszool;36
Galgpaal;17
Gebouw;24
Geleideconstructie;14
Geluidwerende constructie;1
Gestandaardiseerde trottoirband;1
Gestandaardiseerde watergreppel;2
Geteste beginconstructie;1
Grasland;7
Hoogtedetectie;2
IO-Kaart;69
Indoor kast;3
Inspectieput riolering;2
IoT sensor;306
Kabelnet buis;344
Kabelnet toegang;2032
Kolom;17
Kopmuur;6
LED-driver;1326
Laagspanningsbord;124
Landhoofd;2
Letter-cijfer markering;13
Leuning;2
Lichtmast;43
Lichtsensor;4
Lokaal;5
MIV-luskaart;1
Montagekast;183
Neerslagsensor;7
Netwerkelement;979
Netwerkkaart;838
Netwerkpoort;25799
Niet-selectieve detectielus;34
Omvormer;219
Onderbouw;7
Onderdoorboring;78
Opgaande houtige vegetatie;12
Oplegging;2
Oplegrij;2
PLC;5
PT-SC-kaart;1
PT-demodulatoren;62
PT-modem;1
PT-radio;1
PT-regelaar;22
PT-uitgangskaart;7
PT-verwerkingseenheid;15
PT-voedingsmodule;12
Persleiding;2
Pictogram;128
Pijler;14
Pomp;3
Pompstation;2
Power management unit;12
Power over Ethernet injector;4
Punctuele verlichtingsmast;1
Rack;5
Retroreflecterend verkeersbord;11
Rioleringsbuis;9
Segmentcontroller;37
Seinbrug;1
Slagboom installatie;1
Slagboomarm;20
Slagboomarm verlichting;21
Slagboomkolom;22
Sokkel;5
Spanningsomvormer;63
Stalen constructie-object;3
Straatkolk;3
Stroomkring;487
Technische put;1
Telecomkabel;4
Ternairmengselverharding;5
Thermo-hygrometer;16
Trajectcontrole;214
Tunnelverlichting;1
VMS-bord;1
Veerooster;2
Verkeersbordsteun;26
Verkeerslicht groen;1
Verkeerslicht oranjegeel;1
Verkeerslicht rood;1
Verkeersregelaar;3
Verlichtingstoestel LED;807
Vlotplaat;2
Voedingskabel;179
Voertuiglantaarn;1
WIM-datalogger;1
WV lichtmast;16
Weegsensor;2
Wegberm;1
Wegkantkast;57
Windmeter;16
